recording;score
Itgo4T2_20220209_005000.wav;0.231152682
Itgo4T2_20220131_011000.wav;0.231160805
Itgo4T2_20220202_182000.wav;0.231172711
Itgo4T2_20220209_031000.wav;0.231203154
Itgo4T2_20220203_050000.wav;0.231238295
Itgo4T2_20220203_041000.wav;0.231244967
Itgo4T2_20220206_025000.wav;0.231268635
Itgo4T2_20220209_051000.wav;0.231272095
Itgo4T2_20220203_180000.wav;0.231293289
Itgo4T2_20220203_032000.wav;0.231299098
Itgo4T2_20220201_183000.wav;0.231303179
Itgo4T2_20220209_034000.wav;0.231314283
Itgo4T2_20220201_033000.wav;0.231315805
Itgo4T2_20220209_194000.wav;0.2313309
Itgo4T2_20220208_005000.wav;0.231333355
Itgo4T2_20220131_213000.wav;0.231335011
Itgo4T2_20220204_225000.wav;0.231357021
Itgo4T2_20220207_053000.wav;0.231360989
Itgo4T2_20220131_054000.wav;0.231366079
Itgo4T2_20220202_052000.wav;0.231385316
Itgo4T2_20220209_223000.wav;0.231386452
Itgo4T2_20220206_053000.wav;0.23140716
Itgo4T2_20220206_225000.wav;0.231412322
Itgo4T2_20220207_045000.wav;0.2314217
Itgo4T2_20220208_041000.wav;0.231426325
Itgo4T2_20220206_034000.wav;0.231427525
Itgo4T2_20220202_220000.wav;0.231442123
Itgo4T2_20220206_015000.wav;0.231444418
Itgo4T2_20220203_233000.wav;0.231465025
Itgo4T2_20220203_231000.wav;0.231494458
Itgo4T2_20220208_055000.wav;0.231538811
Itgo4T2_20220131_181000.wav;0.231541311
Itgo4T2_20220205_052000.wav;0.231543537
Itgo4T2_20220202_025000.wav;0.231545968
Itgo4T2_20220131_002000.wav;0.231575072
Itgo4T2_20220207_051000.wav;0.231592282
Itgo4T2_20220203_202000.wav;0.23161878
Itgo4T2_20220209_015000.wav;0.231627013
Itgo4T2_20220204_020000.wav;0.231641754
Itgo4T2_20220131_041000.wav;0.231656061
Itgo4T2_20220203_040000.wav;0.231656203
Itgo4T2_20220203_005000.wav;0.23169896
Itgo4T2_20220204_003000.wav;0.231699723
Itgo4T2_20220204_232000.wav;0.231719539
Itgo4T2_20220203_025000.wav;0.231719889
Itgo4T2_20220131_211000.wav;0.231735345
Itgo4T2_20220207_212000.wav;0.231745811
Itgo4T2_20220208_210000.wav;0.231775267
Itgo4T2_20220203_000000.wav;0.231778353
Itgo4T2_20220208_183000.wav;0.231799112
Itgo4T2_20220206_023000.wav;0.231865486
Itgo4T2_20220131_051000.wav;0.231872981
Itgo4T2_20220203_221000.wav;0.23188871
Itgo4T2_20220207_004000.wav;0.23188915
Itgo4T2_20220201_030000.wav;0.231929896
Itgo4T2_20220202_191000.wav;0.231931208
Itgo4T2_20220207_024000.wav;0.231946111
Itgo4T2_20220131_053000.wav;0.231958141
Itgo4T2_20220209_043000.wav;0.231967235
Itgo4T2_20220205_051000.wav;0.231967246
Itgo4T2_20220203_210000.wav;0.231976678
Itgo4T2_20220209_052000.wav;0.231978395
Itgo4T2_20220207_225000.wav;0.231978713
Itgo4T2_20220208_202000.wav;0.231986023
Itgo4T2_20220207_211000.wav;0.23200737
Itgo4T2_20220209_233000.wav;0.232025487
Itgo4T2_20220209_200000.wav;0.232032652
Itgo4T2_20220209_205000.wav;0.232038898
Itgo4T2_20220202_193000.wav;0.232063504
Itgo4T2_20220208_234000.wav;0.232067256
Itgo4T2_20220201_223000.wav;0.232078327
Itgo4T2_20220131_215000.wav;0.232080936
Itgo4T2_20220202_054000.wav;0.232081713
Itgo4T2_20220209_220000.wav;0.232090436
Itgo4T2_20220206_182000.wav;0.232092619
Itgo4T2_20220202_032000.wav;0.232100332
Itgo4T2_20220205_205000.wav;0.232112668
Itgo4T2_20220204_180000.wav;0.232123745
Itgo4T2_20220131_042000.wav;0.232132579
Itgo4T2_20220207_013000.wav;0.232133306
Itgo4T2_20220131_022000.wav;0.232152269
Itgo4T2_20220206_204000.wav;0.23215341
Itgo4T2_20220131_013000.wav;0.232157154
Itgo4T2_20220208_003000.wav;0.232174918
Itgo4T2_20220203_232000.wav;0.232212236
Itgo4T2_20220201_201000.wav;0.232212527
Itgo4T2_20220131_202000.wav;0.232212712
Itgo4T2_20220202_041000.wav;0.23221964
Itgo4T2_20220207_022000.wav;0.232247144
Itgo4T2_20220131_034000.wav;0.232253059
Itgo4T2_20220204_015000.wav;0.232268431
Itgo4T2_20220205_234000.wav;0.232273329
Itgo4T2_20220202_230000.wav;0.232293765
Itgo4T2_20220208_223000.wav;0.232300458
Itgo4T2_20220206_202000.wav;0.232307287
